Year,County FIPS Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income
1997,0,California,5195477,16,2223674,24.6,1487239,23.6,39595
1997,1,Alameda County,164225,11.8,61864,17.6,43054,17.4,46795
1997,3,Alpine County,210,17.5,90,30.6,79,36.2,31080
1997,5,Amador County,3380,11.4,1153,17.1,870,17.2,37829
1997,7,Butte County,40224,20.9,15351,30.9,10996,30.8,29367
1997,9,Calaveras County,5163,13,2093,20.8,1597,21.3,34672
1997,11,Colusa County,3380,18.1,1812,29.4,1289,28.6,30464
1997,13,Contra Costa County,80691,8.7,32488,13.6,22376,13.1,54275
1997,15,Del Norte County,5523,22.9,2368,31.8,1806,33,29044
1997,17,El Dorado County,14074,8.8,5742,13.2,4246,13.4,44954
1997,19,Fresno County,191614,25.6,95511,38,64198,36.5,31587
1997,21,Glenn County,5200,19.9,2485,29.2,1905,31.1,28649
1997,23,Humboldt County,22332,18.5,8555,26,6470,26.8,30426
1997,25,Imperial County,41065,30.3,21408,43.8,13448,37.6,23359
1997,27,Inyo County,2514,14,970,21.5,729,22,32871
1997,29,Kern County,128669,21,62711,30.2,42355,29.2,32359
1997,31,Kings County,24724,23.6,11883,31.3,8418,31.7,30577
1997,33,Lake County,11092,20.1,4677,33.2,3425,33.4,27295
1997,35,Lassen County,4813,19.4,1773,22.9,1326,22.7,36819
1997,37,Los Angeles County,1886639,20.5,779303,30.5,503619,28.7,36441
1997,39,Madera County,24741,22.8,12423,35.5,8345,32.9,30804
1997,41,Marin County,16099,7,4370,9.5,3377,10.4,60967
1997,43,Mariposa County,2425,15.3,999,27.1,720,26.6,31178
1997,45,Mendocino County,15071,18.1,6731,28.5,4932,28.4,32306
1997,47,Merced County,50275,25.4,26975,37.4,18902,37.3,29178
1997,49,Modoc County,1919,21.1,842,33.3,669,35.2,28174
1997,51,Mono County,1167,11.2,475,17.8,364,20.1,36276
1997,53,Monterey County,54559,15.4,25986,24.1,17717,24,38341
